NumberOfCubes,MinSurface,MaxSurface
711,966,2846
712,1084,2850
713,1534,2854
714,526,2858
715,526,2862
716,1440,2866
717,1918,2870
718,2158,2874
719,2878,2878
720,484,2882
721,1662,2886
722,874,2890
723,1934,2894
724,1456,2898
725,630,2902
726,506,2906
727,2910,2910
728,502,2914
729,486,2918
730,1042,2922
731,1582,2926
732,878,2930
733,2934,2934
734,2206,2938
735,518,2942
736,616,2946
737,1630,2950
738,774,2954
739,2958,2958
740,706,2962
741,686,2966
742,982,2970
743,2974,2974
744,668,2978
745,1798,2982
746,2242,2986
747,1014,2990
748,598,2994
749,1726,2998
750,550,3002
751,3006,3006
752,784,3010
753,2014,3014
754,922,3018
755,1822,3022
756,510,3026
757,3030,3030
758,2278,3034
759,710,3038
760,574,3042
761,3046,3046
762,1282,3050
763,1758,3054
764,1536,3058
765,566,3062
766,2302,3066
767,1678,3070
768,512,3074
769,3078,3078
770,514,3082
771,2062,3086
772,1552,3090
773,3094,3094
774,810,3098
775,670,3102
776,1180,3106
777,782,3110
778,2338,3114
779,1678,3118
780,536,3122
781,1726,3126
782,942,3130
783,750,3134
784,532,3138
785,1894,3142
786,1322,3146
787,3150,3150
788,1584,3154
789,2110,3158
790,1126,3162
791,1822,3166
792,518,3170
793,1734,3174
794,2386,3178
795,878,3182
796,1600,3186
797,3190,3190
798,578,3194
799,1726,3198
800,520,3202
801,1086,3206
802,2410,3210
803,1774,3214
804,962,3218
805,622,3222
806,982,3226
807,2158,3230
808,1228,3234
809,3238,3238
810,522,3242
811,3246,3246
812,694,3250
813,2174,3254
814,1006,3258
815,1966,3262
816,572,3266
817,1758,3270
818,2458,3274
819,542,3278
820,778,3282
821,3286,3286
822,1382,3290
823,3294,3294
824,1252,3298
825,590,3302
826,1090,3306
827,3310,3310
828,624,3314
829,3318,3318
830,1182,3322
831,2222,3326
832,544,3330
833,574,3334
834,1402,3338
835,2014,3342
836,658,3346
837,798,3350
838,2518,3354
839,3358,3358
840,548,3362
841,1798,3366
842,2530,3370
843,2254,3374
844,1696,3378
845,598,3382
846,882,3386
847,550,3390
848,880,3394
849,2270,3398
850,610,3402
851,1822,3406
852,1018,3410
853,3414,3414
854,1126,3418
855,622,3422
856,1300,3426
857,3430,3430
858,574,3434
859,3438,3438
860,814,3442
861,862,3446
862,2590,3450
863,3454,3454
864,552,3458
865,2086,3462
866,2602,3466
867,782,3470
868,738,3474
869,1918,3478
870,698,3482
871,1902,3486
872,1324,3490
873,1182,3494
874,1042,3498
875,670,3502
876,1046,3506
877,3510,3510
878,2638,3514
879,2350,3518
880,556,3522
881,3526,3526
882,574,3530
883,3534,3534
